학년,전공,교과코드-구분,과목명,학점,담당교수,시간,강의실
4,공학전공,ENVI468-001,청정소재 및 공정,3,김영주,"화2B,3A,3B 목1A,1B,2A",공대6호관-506
1,기본소양,CLTR085-008,경영의이해,3,,"수8B,9A,9B 금8B,9A,9B",공대12호관-103
1,전공기반,CLTR211-014,수학 I,3,,"월7A,7B,8A 금7A,7B,8A",공대12호관-103
1,전공기반,CLTR213-011,물리학 I,3,김귀년,"화7A,7B,8A 목7A,7B,8A",공대12호관-103
1,전공기반,CLTR215-013,화학 I,3,배진석,"화5B,6A,6B 목5B,6A,6B",공대1호관-401
1,기본소양,CLTR411-013,실용영어1,2,"위드로우, 애덤 크리스토퍼","수1A,1B 금3A,3B",외국어교육관-420
1,기본소양,CLTR411-014,실용영어1,2,"맨티, 타샤 리앤","수1A,1B 금3A,3B",외국어교육관-405
1,전공기반,ENGR217-002,공학 프로그래밍언어,3,류춘하,"화3A,3B 4A,4B 목3A,3B 4A,4B",종합정보센타-202
1,전공기반,ENGR351-005,공학화학실험 I,1,황길태,"수3A,3B 4A,4B",화학관-119
1,전공기반,ENGR351-006,공학화학실험 I,1,김창민,"수3A,3B 4A,4B",화학관-224
2,공학전공,CHEM203-008,유기화학1,3,최재홍,"월5B,6A,6B 수5B,6A,6B",공대1호관-401
2,공학전공,CHEM503-003,분석화학,3,정의경,"화1A,1B,2A 목2B,3A,3B",공대1호관-401
2,기본소양,CLTR045-010,논리와 비판적 사고,3,정석현,"월2B,3A,3B 금1A,1B,2A",공대12호관-103
2,전공기반,CLTR221-009,통계학,3,임슬기,"월1A,1B,2A 수2B,3A,3B",공대12호관-103
2,공학전공,DYFI448-001,공학기초창의설계,3,최재홍,"월7A,7B,8A 수7A,7B,8A",공대1호관-401
2,전공기반,ENGR211-006,공학수학 1,3,이지태,"화7A,7B,8A 목7A,7B,8A",공대1호관-401
3,공학전공,DYFI241-001,섬유요소설계1,3,김한도,"화8B,9A,9B 목8B,9A,9B",공대1호관-401
3,공학전공,DYFI252-001,컬러와 염색기초,3,김태경,"월1A,1B,2A 2B,3A,3B",공대1호관-401
3,공학전공,DYFI317-001,염료합성실험,2,배진석,"금6A,6B 7A,7B 8A,8B 9A,9B",공대12호관-302
3,공학전공,DYFI322-001,방사공학,3,지병철,"화5B,6A,6B 목5B,6A,6B",공대1호관-413
3,공학전공,DYFI447-001,염료화학응용공학,3,배진석,"화2B,3A,3B 목1A,1B,2A",공대1호관-401
3,공학전공,FIBR321-001,섬유재료학,3,정의경,"월8B,9A,9B 수8B,9A,9B",공대1호관-401
3,공학전공,POLY224-002,고분자화학1,3,정의경,"월7A,7B,8A 수7A,7B,8A",공대1호관-413
4,공학전공,DYFI250-001,섬유캡스톤디자인,3,지병철,"금2A,2B 3A,3B 4A,4B",공대1호관-413
4,공학전공,DYFI415-001,섬유고분자실험,2,김한도,"금6A,6B 7A,7B 8A,8B 9A,9B",공대12호관-301
4,공학전공,DYFI437-001,섬유가공2,3,윤남식,"화7A,7B,8A 목7A,7B,8A",공대1호관-413
4,공학전공,DYFI497-001,IT융합형 스마트 텍스타일,3,김태경,"월5B,6A,6B 수5B,6A,6B",공대1호관-413
1,기본소양,CLTR085-009,경영의이해,3,마윤주,"월5B,6A,6B 금5B,6A,6B",공대6호관-102
1,전공기반,CLTR211-015,수학 I,3,,"월8B,9A,9B 수7A,7B,8A",공대3호관-216
1,전공기반,CLTR213-012,물리학 I,3,이일수,"화7A,7B,8A 목7A,7B,8A",공대6호관-101
1,전공기반,CLTR215-014,화학 I,3,김성환,"화5B,6A,6B 목5B,6A,6B",공대6호관-101
1,기본소양,CLTR411-015,실용영어1,2,"빌즈, 그라함 해롤드","월3A,3B 금1A,1B",외국어교육관-402
1,기본소양,CLTR411-016,실용영어1,2,"갈스터, 네이슨 존","월3A,3B 금1A,1B",외국어교육관-407
1,기본소양,CLTR411-017,실용영어1,2,"휴거, 이안 에드먼드","월3A,3B 금1A,1B",외국어교육관-403
1,전공기반,ENGR217-003,공학 프로그래밍언어,3,박보석,"화1A,1B 2A,2B 목1A,1B 2A,2B",종합정보센타-202
1,전공기반,ENGR351-007,공학화학실험 I,1,손호상,"수10A,10B 11A,11B",공대12호관-307
1,전공기반,ENGR351-008,공학화학실험 I,1,손인준,"수10A,10B 11A,11B",공대12호관-311
1,기본소양,CLTR085-010,경영의이해,3,,"월1A,1B,2A 수2B,3A,3B",공대8호관-101
1,전공기반,CLTR211-016,수학 I,3,,"월8B,9A,9B 수7A,7B,8A",공대8호관-101
1,전공기반,CLTR213-013,물리학 I,3,우경성,"화7A,7B,8A 목7A,7B,8A",공대8호관-101
1,전공기반,CLTR215-015,화학 I,3,,"화5B,6A,6B 목5B,6A,6B",공대8호관-101
1,기본소양,CLTR411-018,실용영어1,2,"토마스, 재커리 제이","월3A,3B 금1A,1B",외국어교육관-422
1,기본소양,CLTR411-019,실용영어1,2,"쿡, 콜린 제임스","월3A,3B 금1A,1B",외국어교육관-413
1,기본소양,CLTR411-020,실용영어1,2,"워트링,앤쏘니","월3A,3B 금1A,1B",외국어교육관-421
1,전공기반,ENGR217-004,공학 프로그래밍언어,3,하숙정,"화1A,1B 2A,2B 목1A,1B 2A,2B",종합정보센타-302
1,전공기반,ENGR217-005,공학 프로그래밍언어,3,류춘하,"화1A,1B 2A,2B 목1A,1B 2A,2B",종합정보센타-304
1,전공기반,ENGR351-009,공학화학실험 I,1,이준형,"화9A,9B 10A,10B",공대12호관-412
1,전공기반,ENGR351-010,공학화학실험 I,1,허영우,"화9A,9B 10A,10B",공대12호관-313
2,공학전공,CHEM205-002,물리화학1,3,박성혁,"화5B,6A,6B 목5B,6A,6B",공대3호관-510
2,공학전공,CHEN293-003,창의기초설계,3,전상은,"화7A,7B 8A,8B 목7A,7B 8A,8B",공대3호관-510
2,공학전공,CIME447-001,재료전기화학,3,손인준,"월5B,6A,6B 수5B,6A,6B",공대3호관-510
2,기본소양,CLTR045-011,논리와 비판적 사고,3,전재원,"수1A,1B,2A 금2B,3A,3B",공대3호관-504
2,전공기반,ENGR211-007,공학수학 1,3,전상은,"화2B,3A,3B 목2B,3A,3B",공대3호관-510
2,공학전공,META211-001,재료과학1,3,이호성,"월2B,3A,3B 수2B,3A,3B",공대3호관-510
3,공학전공,CIME315-001,재료물리학,3,허증수,"수2B,3A,3B 금2B,3A,3B",공대3호관-506
3,공학전공,CIME351-001,재료열역학,3,손호상,"월7A,7B,8A 수7A,7B,8A",공대3호관-506
3,공학전공,META316-001,재료의기계적성질,3,박성혁,"화2B,3A,3B 목2B,3A,3B",공대3호관-506
3,공학전공,META318-001,재료물리실험,1,이호성,"월10A,10B 11A,11B",공대12호관-307
3,공학전공,META318-002,재료물리실험,1,박성혁,"월10A,10B 11A,11B",공대12호관-311
3,공학전공,META340-001,결정구조와 회절,3,이호성,"월5B,6A,6B 화5B,6A,6B",공대3호관-506
3,공학전공,META355-001,첨단재료상변태,3,이승훈,"월8B,9A,9B 수5B,6A,6B",공대3호관-506
3,공학전공,META523-001,금속신소재세미나 1,1,박귀일,"목7A,7B 8A,8B",공대3호관-506
4,공학전공,CIME460-001,에너지소재,3,손인준,"월2B,3A,3B 수2B,3A,3B",공대3호관-408
4,공학전공,META354-001,첨단제련공학,3,손호상,"월8B,9A,9B 수8B,9A,9B",공대3호관-510
4,공학전공,META411-001,응고공정학,3,박귀일,"화5B,6A,6B 목5B,6A,6B",공대3호관-408
4,공학전공,META441-001,캡스톤설계 1,3,박귀일,"월10A,10B 11A,11B 12A,12B 13A,13B",공대3호관-510
4,공학전공,META451-001,반도체소자공학,3,이호성,"월7A,7B,8A",공대3호관-510
2,공학전공,CHEN293-004,창의기초설계,3,정연욱,"월5A,5B 6A,6B 7A,7B 8A,8B",공대8호관-109
2,공학전공,CHEN293-005,창의기초설계,3,이상욱,"월5A,5B 6A,6B 7A,7B 8A,8B",공대8호관-110
2,공학전공,CIME351-002,재료열역학,3,정연욱,"화1A,1B,2A 목1A,1B,2A",공대8호관-109
2,기본소양,CLTR045-036,논리와 비판적 사고,3,박정식,"월1A,1B,2A 수2B,3A,3B",공대8호관-109
2,기본소양,CLTR221-012,통계학,3,김은영,"수8B,9A,9B 금8B,9A,9B",공대8호관-109
2,전공기반,ENGR211-008,공학수학 1,3,김진호,"화2B,3A,3B 목2B,3A,3B",공대8호관-109
2,공학전공,META211-002,재료과학1,3,김남경,"화5B,6A,6B 목5B,6A,6B",공대8호관-109
3,공학전공,CIME316-001,계면공학,3,김정주,"화1A,1B,2A 목1A,1B,2A",공대8호관-315
3,공학전공,CIME329-001,고체확산,3,허영우,"화2B,3A,3B 목2B,3A,3B",공대8호관-315
3,공학전공,CIME330-001,X-선 회절분석,3,김남경,"화7A,7B,8A 목7A,7B,8A",공대8호관-315
3,공학전공,CIME332-001,재료공정실험,2,이준형,"월5A,5B 6A,6B 7A,7B",공대8호관-412
3,공학전공,CIME332-002,재료공정실험,2,허영우,"월5A,5B 6A,6B 7A,7B",공대12호관-313
3,공학전공,CIME442-001,재료분석학,3,이준형,"월2B,3A,3B 수2B,3A,3B",공대8호관-315
3,공학전공,META243-001,재료결정학,3,김정주,"화5B,6A,6B 목5B,6A,6B",공대8호관-315
4,공학전공,CIME431-001,재료박막공학,3,이상욱,"화5B,6A,6B 목5B,6A,6B",공대8호관-413
4,공학전공,CIME447-002,재료전기화학,3,정연욱,"화2B,3A,3B 목2B,3A,3B",공대8호관-413
4,공학전공,CIME450-001,캡스톤디자인,3,허영우,"수5A,5B 6A,6B 7A,7B 8A,8B 9A,9B",공대8호관-413
4,공학전공,CIME450-002,캡스톤디자인,3,,"수5A,5B 6A,6B 7A,7B 8A,8B 9A,9B",공대8호관-315
4,공학전공,META320-001,전자재료학,3,김진호,"화1A,1B,2A 목1A,1B,2A",공대8호관-413
1,기본소양,CLTR017-008,실용한자,3,이선영,"수1A,1B,2A 금2B,3A,3B",공대6호관-102
1,기본소양,CLTR085-011,경영의이해,3,장성희,"수8B,9A,9B 금8B,9A,9B",공대2호관-420
1,기본소양,CLTR210-017,명저읽기와 토론,3,김홍태,"화2B,3A,3B 목1A,1B,2A",공대2호관-408
1,기본소양,CLTR210-018,명저읽기와 토론,3,문준식,"화2B,3A,3B 목1A,1B,2A",공대2호관-420
1,기본소양,CLTR210-019,명저읽기와 토론,3,이영재,"화2B,3A,3B 목1A,1B,2A",공대2호관-102
1,전공기반,CLTR211-017,수학 I,3,,"월8B,9A,9B 수7A,7B,8A",공대6호관-102
1,전공기반,CLTR213-014,물리학 I,3,조상규,"화5B,6A,6B 목5B,6A,6B",공대6호관-102
1,전공기반,CLTR223-014,물리학실험 I,1,,"화7A,7B 8A,8B",제1과학관-B02-2
1,전공기반,CLTR223-015,물리학실험 I,1,양기원,"화7A,7B 8A,8B",제4합동강의동-311
1,전공기반,CLTR223-016,물리학실험 I,1,,"목7A,7B 8A,8B",제1과학관-B02-2
1,전공기반,CLTR223-017,물리학실험 I,1,양기원,"목7A,7B 8A,8B",제4합동강의동-311
1,기본소양,CLTR411-021,실용영어1,2,"갈스터, 네이슨 존","월5A,5B 수5A,5B",외국어교육관-407
1,기본소양,CLTR411-022,실용영어1,2,"토마스, 재커리 제이","월5A,5B 수5A,5B",외국어교육관-422
1,기본소양,CLTR411-023,실용영어1,2,"쿡, 콜린 제임스","월5A,5B 수5A,5B",외국어교육관-413
1,기본소양,CLTR411-024,실용영어1,2,"노울, 디터","월5A,5B 수5A,5B",외국어교육관-404
2,공학전공,ACEN261-001,측량학 및 실습,3,염준호,"화6A,6B 7A,7B 목8A,8B 9A,9B",공대2호관-126
2,공학전공,ACEN261-002,측량학 및 실습,3,염준호,"화8A,8B 9A,9B 목6A,6B 7A,7B",공대2호관-126
2,공학전공,CVLE213-001,토목공학창의설계,3,최세휴,"화8A,8B 9A,9B 목6A,6B 7A,7B",공대2호관-408
2,공학전공,CVLE213-002,토목공학창의설계,3,오상화,"화6A,6B 7A,7B 목8A,8B 9A,9B",공대2호관-408
2,공학전공,CVLE301-001,응용역학1,3,최세휴,"화2B,3A,3B 목1A,1B,2A",공대2호관-402
2,전공기반,CVLE318-001,응용전산프로그래밍 및 실습,3,윤영묵,"월6A,6B 7A,7B 수8A,8B 9A,9B",공대2호관-126
2,전공기반,CVLE318-002,응용전산프로그래밍 및 실습,3,윤영묵,"월8A,8B 9A,9B 수6A,6B 7A,7B",공대2호관-126
2,공학전공,CVLE339-001,토목유체역학및실습,3,김광섭,"월1A,1B 2A,2B 수3A,3B 4A,4B",공대2호관-402
2,공학전공,CVLE339-002,토목유체역학및실습,3,김광섭,"월3A,3B 4A,4B 수1A,1B 2A,2B",공대2호관-402
2,전공기반,MATH205-001,미분방정식,3,이성철,"화1A,1B,2A 목2B,3A,3B",공대2호관-402
3,공학전공,ACEN241-001,수리학및실험1,3,한건연,"월6A,6B 7A,7B 수8A,8B 9A,9B",공대2호관-402
3,공학전공,ACEN241-002,수리학및실험1,3,이재영,"월8A,8B 9A,9B 수6A,6B 7A,7B",공대2호관-402
3,공학전공,ACEN463-001,구조역학,3,최세휴,"화1A,1B,2A 목2B,3A,3B",공대2호관-408
3,공학전공,CVLE322-001,하수처리공학 및 실험,3,김홍태,"화6A,6B 7A,7B 목8A,8B 9A,9B",공대2호관-402
3,공학전공,CVLE322-002,하수처리공학 및 실험,3,오상화,"화8A,8B 9A,9B 목6A,6B 7A,7B",공대2호관-402
3,공학전공,CVLE324-001,콘크리트공학 및 실험,3,윤영묵,"월1A,1B 2A,2B 수3A,3B 4A,4B",공대2호관-408
3,공학전공,CVLE324-002,콘크리트공학 및 실험,3,윤영묵,"월3A,3B 4A,4B 수1A,1B 2A,2B",공대2호관-408
3,공학전공,CVLE419-001,토질역학 및 실험 2,3,박성식,"화6A,6B 7A,7B 목8A,8B 9A,9B",공대2호관-420
3,공학전공,CVLE419-002,토질역학 및 실험 2,3,박성식,"화8A,8B 9A,9B 목6A,6B 7A,7B",공대2호관-420
3,공학전공,CVLE421-001,건설관리및실습,3,김병수,"금1A,1B 2A,2B 3A,3B 4A,4B",공대2호관-402
4,공학전공,CIVL233-001,건설시공학,3,박진영,"화8B,9A,9B 목8B,9A,9B",공대2호관-120
4,공학전공,CVLE424-001,구조동역학 및 내진설계,3,윤영묵,"화6A,6B 7A,7B 목6A,6B 7A,7B",공대2호관-120
4,공학전공,CVLE514-001,지반구조물설계,3,문준식,"월6A,6B 7A,7B 수8A,8B 9A,9B",공대2호관-120
4,공학전공,CVLE519-001,PS콘크리트구조설계,3,이성철,"월8A,8B 9A,9B 수6A,6B 7A,7B",공대2호관-120
4,공학전공,CVLE521-001,교량공학 및 설계,3,이영재,"월1A,1B 2A,2B 수1A,1B 2A,2B",공대2호관-126
4,공학전공,CVLE532-001,SOC종합설계,4,박성식,"화3A,3B 4A,4B 5A,5B 목3A,3B 4A,4B 5A,5B",공대2호관-120
4,공학전공,CVLE551-001,폐수처리 및 설계,3,오상화,"화1A,1B 2A,2B 목1A,1B 2A,2B",공대2호관-120
4,공학전공,CVLE559-001,하천공학및설계,3,금호준,"월3A,3B 4A,4B 수3A,3B 4A,4B",공대2호관-120
*,교양,CLTR471-001,친환경적 삶과 건축,3,이태경,"화8B,9A,9B 목8B,9A,9B",공대6호관-102
*,교양,CLTR185-002,인간과주거문화,3,이지애,"화1A,1B,2A 목2B,3A,3B",공대6호관-102
1,기본소양,CLTR017-009,실용한자,3,문수영,"수8B,9A,9B 금8B,9A,9B",공대6호관-102
1,기본소양,CLTR085-012,경영의이해,3,,"수1A,1B,2A 금1A,1B,2A",공대12호관-114
1,기본소양,CLTR185-001,인간과주거문화,3,윤혜경,"월1A,1B,2A 수2B,3A,3B",공대12호관-114
1,전공기반,CLTR211-018,수학 I,3,,"월7A,7B,8A 금7A,7B,8A",공대6호관-102
1,전공기반,CLTR213-015,물리학 I,3,여준엽,"화7A,7B,8A 목7A,7B,8A",공대6호관-102
1,전공기반,CLTR223-018,물리학실험 I,1,파나요티스 베네타토스,"화1A,1B 2A,2B",제1과학관-B02-2
1,전공기반,CLTR223-019,물리학실험 I,1,양기원,"화1A,1B 2A,2B",제4합동강의동-311
1,전공기반,CLTR223-020,물리학실험 I,1,파나요티스 베네타토스,"목1A,1B 2A,2B",제1과학관-B06-2
1,기본소양,CLTR411-025,실용영어1,2,"피어슨, 브랜든","수6A,6B 금5A,5B",외국어교육관-425
1,기본소양,CLTR411-026,실용영어1,2,"노울, 디터","수6A,6B 금5A,5B",외국어교육관-404
1,기본소양,CLTR411-027,실용영어1,2,"맨티, 타샤 리앤","수6A,6B 금5A,5B",외국어교육관-405
2,공학전공,ARCH211-001,세계 속의 건축문화,3,조재모,"월5B,6A,6B 수5B,6A,6B",공대2호관-310
2,공학전공,ARCH217-001,창의적 기본설계,3,김홍진,"수7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대2호관-426
2,공학전공,ARCH217-002,창의적 기본설계,3,신승훈,"수7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대2A호관-202
2,전공기반,ARCH311-001,공업수학1,3,이희두,"월2B,3A,3B 금1A,1B,2A",공대2호관-326
2,전공기반,ARCH318-001,건축전산및캐드,3,류정림,"월7A,7B,8A 금5B,6A,6B",공대2A호관-203
2,전공기반,ARCH318-002,건축전산및캐드,3,서지효,"월7A,7B,8A 금5B,6A,6B",공대2A호관-202
2,공학전공,ARCH333-001,건축구조역학1,3,신경재,"화5B,6A,6B 목5B,6A,6B",공대2호관-310
2,공학전공,ARCH362-001,건축재료,3,최형길,"화8B,9A,9B 목8B,9A,9B",공대2호관-326
2,기본소양,CLTR045-012,논리와 비판적 사고,3,성회경,"월1A,1B,2A 금2B,3A,3B",공대12호관-215
3,공학전공,ARCH454-001,철근콘크리트구조해석,3,변상민,"수2A,2B 3A,3B 4A,4B",공대2호관-326
3,공학전공,ARCH461-001,건축시공,3,박영준,"월5B,6A,6B 수5B,6A,6B",공대2호관-426
3,공학전공,ARCH462-001,건축설비,3,황정하,"월1A,1B,2A 2B,3A,3B",공대2호관-310
3,공학전공,ARCH472-001,건축설계2,3,김훈,"화7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대2A호관-101
3,공학전공,ARCH472-002,건축설계2,3,석한수,"금5B,6A,6B 7A,7B,8A 8B,9A,9B 10A,10B,11A",공대2A호관-101
3,공학전공,ARCH489-001,건설정보공학,3,이홍철,"월8B,9A,9B 수8B,9A,9B",공대2A호관-203
3,전공기반,STAT452-003,수치해석,3,김홍진,"화2B,3A,3B 목2B,3A,3B",공대2호관-426
3,전공기반,STAT452-004,수치해석,3,김홍진,"화5B,6A,6B 목5B,6A,6B",공대2호관-426
4,공학전공,ARCH458-001,건물공조및에너지공학,3,황정하,"화1A,1B,2A 2B,3A,3B",공대2호관-310
4,공학전공,ARCH468-001,건축설비설계,3,나욱정,"수1A,1B,2A 2B,3A,3B 4A,4B,5A 5B,6A,6B",공대2A호관-203
4,공학전공,ARCH535-001,강구조설계,3,신경재,"화7A,7B,8A 8B,9A,9B 목7A,7B,8A 8B,9A,9B",공대2A호관-201
4,공학전공,ARCH563-001,토질및기초공학,3,김철환,"수7A,7B,8A 8B,9A,9B",공대2호관-310
4,공학전공,ARCH568-001,건축견적 및 입찰,3,임태경,"목1A,1B,2A 2B,3A,3B",공대2호관-310
4,공학전공,ARCH576-001,생태환경시스템,3,서윤규,"월7A,7B,8A 8B,9A,9B",공대2호관-310
4,공학전공,ARCH583-001,졸업논문1,2,황정하,"화10A,10B 11A,11B",공대2A호관-207
4,공학전공,ARCH583-002,졸업논문1,2,김철환,"화10A,10B 11A,11B",공대2호관-303
4,공학전공,ARCH583-003,졸업논문1,2,홍원화,"월10A,10B 11A,11B",공대2호관-304
4,공학전공,ARCH583-004,졸업논문1,2,신경재,"화10A,10B 11A,11B",공대2호관-307
4,공학전공,ARCH583-005,졸업논문1,2,이동은,"화10A,10B 11A,11B",공대2호관-407-2
4,공학전공,ARCH583-006,졸업논문1,2,최형길,"목10A,10B 11A,11B",공대2A호관-208
4,공학전공,ARCH583-007,졸업논문1,2,김홍진,"화10A,10B 11A,11B",공대2호관-413
4,교직,TCHR522-013,학교현장실습,2,,,-
1,전공,ARCH226-001,건축문화와 공간,3,박용서,"화2B,3A,3B 목2B,3A,3B",공대2A호관-201
1,전공,ARCH267-001,건축표현및제도,3,정명섭,"월1A,1B,2A 2B,3A,3B 수1A,1B,2A 2B,3A,3B",공대2A호관-101
1,전공,ARCH267-002,건축표현및제도,3,류정림,"월1A,1B,2A 2B,3A,3B 수1A,1B,2A 2B,3A,3B",공대2A호관-102
1,전공,ARCH267-003,건축표현및제도,3,서지효,"월1A,1B,2A 2B,3A,3B 수1A,1B,2A 2B,3A,3B",공대2A호관-201
1,전공,ARCH267-004,건축표현및제도,3,이권형,"월1A,1B,2A 2B,3A,3B 수1A,1B,2A 2B,3A,3B",공대2A호관-202
1,교양,CLTR043-004,서양의역사와문화,3,변정심,"수8B,9A,9B 금8B,9A,9B",공대12호관-114
1,교양,CLTR101-007,인간과자연,3,박충선,"월5B,6A,6B 수5B,6A,6B",공대12호관-114
1,교양,CLTR211-019,수학 I,3,,"수7A,7B,8A 금7A,7B,8A",공대12호관-114
1,기본소양,CLTR411-028,실용영어1,2,"하이랜드,크리스","화5A,5B 목5A,5B",외국어교육관-424
1,기본소양,CLTR411-029,실용영어1,2,"드니아,토비","화5A,5B 목5A,5B",외국어교육관-423
1,기본소양,CLTR411-030,실용영어1,2,워터스 더스틴,"화5A,5B 목5A,5B",외국어교육관-419
2,전공,ARCH227-001,건축과 테크놀로지,3,이권형,"화7A,7B,8A 8B,9A,9B",공대2호관-102
2,전공,ARCH229-001,건축구법 및 재료,3,고태용,"월5B,6A,6B 수5B,6A,6B",공대2호관-102
2,전공,ARCH325-001,건축디자인1,6,이근택,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-504-1
2,전공,ARCH325-002,건축디자인1,6,김성화,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-504-2
2,전공,ARCH325-003,건축디자인1,6,임정국,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-504-3
2,전공,ARCH325-004,건축디자인1,6,정혜진,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-504-4
2,전공,ARCH333-002,건축구조역학1,3,김철환,"화5B,6A,6B 목5B,6A,6B",공대2호관-102
2,전공,ARCH342-001,건축계획,3,노정하,"수8B,9A,9B 10A,10B,11A",공대2A호관-201
3,전공,ARCH230-001,디지털건축디자인,3,서지효,"금1A,1B,2A 2B,3A,3B 7A,7B,8A 8B,9A,9B",공대2A호관-203
3,전공,ARCH230-002,디지털건축디자인,3,정태호,"금1A,1B,2A 2B,3A,3B 7A,7B,8A 8B,9A,9B",공대2A호관-202
3,전공,ARCH423-001,근대건축사,3,이정호,"화2B,3A,3B 목2B,3A,3B",공대2호관-326
3,전공,ARCH453-001,주거단지계획,3,윤철재,"화5B,6A,6B 목1A,1B,2A",공대2호관-326
3,전공,ARCH455-001,건축디자인3,6,이상홍,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 수7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-508-1
3,전공,ARCH455-002,건축디자인3,6,박용서,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 수7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-508-2
3,전공,ARCH455-003,건축디자인3,6,정형봉,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 수7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-508-3
3,전공,ARCH455-004,건축디자인3,6,강진,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 수7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-508-4
3,전공,ARCH461-002,건축시공,3,최형길,"화7A,7B,8A 목7A,7B,8A",공대2호관-326
4,전공,ARCH403-001,건물시스템계획,3,이정림,"수1A,1B,2A 2B,3A,3B",공대2호관-310
4,전공,ARCH524-001,실내건축,3,이승우,"수7A,7B,8A 8B,9A,9B",공대2호관-326
4,전공,ARCH543-001,건축디자인5,6,이정호,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-506-1
4,전공,ARCH543-002,건축디자인5,6,김훈,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-506-2
4,전공,ARCH543-003,건축디자인5,6,육재훈,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-506-3
4,전공,ARCH543-004,건축디자인5,6,이민철,"월7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B 목7A,7B,8A 8B,9A,9B 10A,10B,11A 11B,12A,12B",공대12호관-506-4
4,전공,ARCH555-001,환경친화건축,3,이상홍,"월5B,6A,6B 수5B,6A,6B",공대2호관-326
4,전공,ARCH683-001,역사환경보전,3,조재모,"화7A,7B,8A 8B,9A,9B",공대2호관-310
1,교양,CLTR085-007,경영의이해,3,,"수8B,9A,9B 금8B,9A,9B",공대12호관-213
1,교양,CLTR205-014,대학글쓰기,3,,"월5B,6A,6B 금5B,6A,6B",공대6호관-101
1,교양,CLTR211-020,수학 I,3,,"월8B,9A,9B 수7A,7B,8A",공대6호관-101
1,교양,CLTR213-016,물리학 I,3,이세욱,"화1A,1B,2A 목2B,3A,3B",공대6호관-101
1,교양,CLTR215-016,화학 I,3,남상일,"수1A,1B,2A 금2B,3A,3B",공대6호관-101
1,교양,CLTR223-021,물리학실험 I,1,파나요티스 베네타토스,"목5A,5B 6A,6B",제1과학관-B02-2
1,교양,CLTR223-022,물리학실험 I,1,양기원,"목5A,5B 6A,6B",제4합동강의동-311
1,교양,CLTR226-009,화학실험 I,1,"아브라모프, 파벨","화5A,5B 6A,6B",화학관-119
1,교양,CLTR226-010,화학실험 I,1,조형화,"화5A,5B 6A,6B",화학관-224
1,기본소양,CLTR411-031,실용영어1,2,"위드로우, 애덤 크리스토퍼","화7A,7B 목7A,7B",외국어교육관-420
1,기본소양,CLTR411-032,실용영어1,2,워터스 더스틴,"화7A,7B 목7A,7B",외국어교육관-419
2,전공,EESO229-001,기초에너지설계실험1,3,조성진,"월5A,5B 6A,6B 7A,7B 8A,8B",공대7호관-110
2,전공,EESO252-001,에너지열역학 1	,3,,"화5B,6A,6B 목5B,6A,6B",공대7호관-107
2,전공,ELEC243-001,회로이론1,3,구본관,"화7A,7B,8A 목7A,7B,8A",공대7호관-107
2,전공,ELEC247-002,논리회로,3,황덕현,"월2B,3A,3B 수1A,1B,2A",공대7호관-107
2,전공,ELEC427-001,현대물리,3,윤채민,"월1A,1B,2A 수2B,3A,3B",공대7호관-107
2,전공,ENGR211-009,공학수학 1,3,금오연,"수5B,6A,6B 7A,7B,8A",공대7호관-213
3,전공,CHEN241-001,프로그래밍언어,3,이원호,"월2B,3A,3B 금1A,1B,2A",공대7호관-213
